signal,target,source_module,classification,ic_raw_20d,ic_neutral_20d,leakage_risk,reason,tech_concentration,production_candidate,pruned,kept,prune_reasons
momentum_etf_rotation_system,multi_asset_portfolio,multi_asset_runner,STRUCTURAL_EXPOSURE,,-0.03557497441536944,LOW,Market alpha 12.6% but sector-neutral alpha -3.6% — sector/momentum tilt not independent edge,True,False,True,False,sector-neutral alpha -3.6% <= 0; robustness: production_candidate=false
daily_earnings_factor,IWM,alternative_data,NOISE,0.3582490286493173,0.3604740550928892,HIGH,HIGH leakage risk — cannot trust timing,,,True,False,HIGH leakage risk; classified NOISE
earnings_breadth_QQQ,SPY,alternative_data,NOISE,0.3417758929421566,0.2202465233881163,HIGH,HIGH leakage risk — cannot trust timing,,,True,False,HIGH leakage risk; classified NOISE
earnings_breadth_SPY,IWM,alternative_data,NOISE,0.1806622531286478,0.1684428992836072,HIGH,HIGH leakage risk — cannot trust timing,,,True,False,HIGH leakage risk; classified NOISE
earnings_mean_QQQ,XLE,alternative_data,NOISE,0.2695320765975244,0.2842140750105352,HIGH,HIGH leakage risk — cannot trust timing,,,True,False,HIGH leakage risk; classified NOISE
earnings_mean_SPY,IWM,alternative_data,NOISE,0.2641356012471144,0.2597587442056469,HIGH,HIGH leakage risk — cannot trust timing,,,True,False,HIGH leakage risk; classified NOISE
flow_abnormal_vol_IWM,QQQ,alternative_data,TRUE_EDGE,-0.1355348041031668,-0.1366001967271752,LOW,Neutral IC -0.137 >= threshold (needs regime/bootstrap confirm),,,True,False,unstable in 5+ regimes
flow_abnormal_vol_QQQ,XLE,alternative_data,TRUE_EDGE,0.1035244823137159,0.1104635863108545,LOW,Neutral IC 0.110 >= threshold (needs regime/bootstrap confirm),,,True,False,unstable in 5+ regimes
flow_abnormal_vol_SPY,XLF,alternative_data,TRUE_EDGE,0.088442917182969,0.1020528608474598,LOW,Neutral IC 0.102 >= threshold (needs regime/bootstrap confirm),,,True,False,unstable in 5+ regimes
flow_abnormal_vol_XLE,XLE,alternative_data,TRUE_EDGE,0.1963988707349165,0.2031910680752673,LOW,Neutral IC 0.203 >= threshold (needs regime/bootstrap confirm),,,True,False,unstable in 5+ regimes
flow_abnormal_vol_XLF,XLE,alternative_data,TRUE_EDGE,0.2299101953219811,0.233883062301197,LOW,Neutral IC 0.234 >= threshold (needs regime/bootstrap confirm),,,True,False,unstable in 5+ regimes
flow_abnormal_vol_XLK,XLE,alternative_data,TRUE_EDGE,0.0872944903616458,0.1040827276095093,LOW,Neutral IC 0.104 >= threshold (needs regime/bootstrap confirm),,,True,False,unstable in 5+ regimes
flow_breadth_thrust,IWM,alternative_data,TRUE_EDGE,-0.0566441951243258,-0.0677884105641842,LOW,Neutral IC -0.068 >= threshold (needs regime/bootstrap confirm),,,True,False,unstable in 5+ regimes
